time,G(i),H_sun,T2m,WS10m,Int
20060101:0010,0.0,0.0,3.39,4.28,0.0
20060101:0110,0.0,0.0,2.93,4.21,0.0
20060101:0210,0.0,0.0,2.65,4.28,0.0
20060101:0310,0.0,0.0,2.49,4.28,0.0
20060101:0410,0.0,0.0,2.12,4.21,0.0
20060101:0510,0.0,0.0,1.73,4.41,0.0
20060101:0610,0.0,0.0,1.89,4.55,0.0
20060101:0710,0.0,0.0,3.2,5.24,0.0
20060101:0810,25.48,2.66,3.94,4.62,0.0
20060101:0910,86.99,9.48,4.82,4.55,0.0
20060101:1010,451.7,14.58,5.78,4.69,0.0
20060101:1110,33.11,17.56,6.22,4.55,0.0
20060101:1210,465.98,18.12,6.6,4.62,0.0
20060101:1310,145.55,16.2,6.98,4.69,0.0
20060101:1410,15.14,12.0,6.98,4.9,0.0
20060101:1510,265.75,5.9,6.57,4.41,0.0
20060101:1610,0.0,0.0,5.91,4.0,0.0
20060101:1710,0.0,0.0,5.53,4.14,0.0
20060101:1810,0.0,0.0,5.37,4.21,0.0
20060101:1910,0.0,0.0,4.88,3.86,0.0
20060101:2010,0.0,0.0,4.96,3.86,0.0
20060101:2110,0.0,0.0,4.78,3.79,0.0
20060101:2210,0.0,0.0,4.75,3.79,0.0
20060101:2310,0.0,0.0,4.59,3.93,0.0
20060102:0010,0.0,0.0,4.3,3.93,0.0
20060102:0110,0.0,0.0,3.99,3.93,0.0
20060102:0210,0.0,0.0,3.77,3.93,0.0
20060102:0310,0.0,0.0,3.57,3.93,0.0
20060102:0410,0.0,0.0,3.55,3.93,0.0
20060102:0510,0.0,0.0,3.37,3.79,0.0
20060102:0610,0.0,0.0,3.31,3.66,0.0
20060102:0710,0.0,0.0,2.86,3.38,0.0
20060102:0810,11.35,2.68,2.34,3.1,0.0
20060102:0910,208.9,9.52,2.6,2.76,0.0
20060102:1010,423.46,14.64,3.55,3.03,0.0
20060102:1110,552.06,17.63,4.5,3.59,0.0
20060102:1210,635.37,18.21,4.97,3.45,0.0
20060102:1310,618.73,16.31,5.48,3.31,0.0
20060102:1410,377.12,12.12,5.73,3.17,0.0
20060102:1510,233.76,6.02,5.54,2.69,0.0
20060102:1610,0.0,0.0,4.86,2.14,0.0
20060102:1710,0.0,0.0,4.33,1.79,0.0
20060102:1810,0.0,0.0,4.05,1.66,0.0
20060102:1910,0.0,0.0,4.38,1.52,0.0
20060102:2010,0.0,0.0,3.92,1.45,0.0
20060102:2110,0.0,0.0,3.82,1.1,0.0
20060102:2210,0.0,0.0,3.55,0.9,0.0
20060102:2310,0.0,0.0,3.05,1.03,0.0
20060103:0010,0.0,0.0,2.61,1.24,0.0
20060103:0110,0.0,0.0,2.31,1.31,0.0
20060103:0210,0.0,0.0,1.92,1.45,0.0
20060103:0310,0.0,0.0,2.25,1.31,0.0
20060103:0410,0.0,0.0,2.21,1.45,0.0
20060103:0510,0.0,0.0,2.61,1.59,0.0
20060103:0610,0.0,0.0,2.66,1.93,0.0
20060103:0710,0.0,0.0,2.19,1.72,0.0
20060103:0810,11.35,2.7,2.05,1.45,0.0
20060103:0910,81.04,9.55,2.1,1.93,0.0
20060103:1010,37.84,14.69,2.34,1.45,0.0
20060103:1110,320.0,17.71,2.69,1.24,0.0
20060103:1210,163.32,18.31,2.92,1.72,0.0
20060103:1310,270.79,16.42,3.14,1.59,0.0
20060103:1410,373.49,12.25,3.38,1.31,0.0
20060103:1510,61.99,6.16,3.32,1.17,0.0
20060103:1610,0.0,0.0,3.1,0.97,0.0
20060103:1710,0.0,0.0,2.93,0.9,0.0
20060103:1810,0.0,0.0,2.74,0.69,0.0
20060103:1910,0.0,0.0,3.28,1.31,0.0
20060103:2010,0.0,0.0,3.02,1.45,0.0
20060103:2110,0.0,0.0,2.84,1.52,0.0
20060103:2210,0.0,0.0,2.73,1.59,0.0
20060103:2310,0.0,0.0,2.8,1.66,0.0
20060104:0010,0.0,0.0,2.75,1.72,0.0
20060104:0110,0.0,0.0,2.67,1.79,0.0
20060104:0210,0.0,0.0,2.61,1.86,0.0
20060104:0310,0.0,0.0,2.46,2.07,0.0
20060104:0410,0.0,0.0,2.28,2.28,0.0
20060104:0510,0.0,0.0,2.13,2.48,0.0
20060104:0610,0.0,0.0,1.9,2.41,0.0
20060104:0710,0.0,0.0,2.15,2.55,0.0
20060104:0810,14.04,2.73,1.89,2.62,0.0
20060104:0910,58.45,9.6,1.73,2.48,0.0
20060104:1010,165.85,14.76,1.74,2.69,0.0
20060104:1110,309.05,17.8,2.14,2.55,0.0
20060104:1210,258.87,18.41,2.96,2.55,0.0
20060104:1310,467.02,16.54,3.38,2.55,0.0
20060104:1410,496.0,12.38,3.56,2.9,0.0
20060104:1510,296.63,6.29,3.38,2.97,0.0
20060104:1610,0.0,0.0,2.89,2.62,0.0
20060104:1710,0.0,0.0,2.5,2.69,0.0
20060104:1810,0.0,0.0,2.4,2.97,0.0
20060104:1910,0.0,0.0,2.33,2.76,0.0
20060104:2010,0.0,0.0,1.97,2.69,0.0
20060104:2110,0.0,0.0,1.38,2.76,0.0
20060104:2210,0.0,0.0,0.55,2.83,0.0
20060104:2310,0.0,0.0,0.09,2.9,0.0
20060105:0010,0.0,0.0,-0.47,2.9,0.0
20060105:0110,0.0,0.0,-0.76,3.03,0.0
20060105:0210,0.0,0.0,-1.26,3.03,0.0
20060105:0310,0.0,0.0,-1.27,3.1,0.0
20060105:0410,0.0,0.0,-1.0,3.24,0.0
20060105:0510,0.0,0.0,-0.82,3.17,0.0
20060105:0610,0.0,0.0,-0.74,3.1,0.0
20060105:0710,0.0,0.0,-0.91,2.9,0.0
20060105:0810,5.68,2.76,-0.81,2.83,0.0
20060105:0910,38.79,9.65,-0.27,2.55,0.0
20060105:1010,240.98,14.83,0.16,2.9,0.0
20060105:1110,67.16,17.89,0.98,3.72,0.0
20060105:1210,56.76,18.52,1.47,3.52,0.0
20060105:1310,60.54,16.67,1.87,3.45,0.0
20060105:1410,68.92,12.52,1.89,3.38,0.0
20060105:1510,24.6,6.44,1.71,2.69,0.0
20060105:1610,0.0,0.0,1.24,2.21,0.0
20060105:1710,0.0,0.0,0.66,2.0,0.0
20060105:1810,0.0,0.0,0.21,2.0,0.0
20060105:1910,0.0,0.0,-0.9,2.0,0.0
20060105:2010,0.0,0.0,-0.95,1.79,0.0
20060105:2110,0.0,0.0,-0.78,1.52,0.0
20060105:2210,0.0,0.0,-1.2,1.59,0.0
20060105:2310,0.0,0.0,-1.2,1.59,0.0
20060106:0010,0.0,0.0,-1.27,1.66,0.0
20060106:0110,0.0,0.0,-1.13,1.79,0.0
20060106:0210,0.0,0.0,-1.27,1.79,0.0
20060106:0310,0.0,0.0,-1.32,1.66,0.0
20060106:0410,0.0,0.0,-1.41,1.66,0.0
20060106:0510,0.0,0.0,-1.12,1.66,0.0
20060106:0610,0.0,0.0,-1.26,1.86,0.0
20060106:0710,0.0,0.0,-1.24,2.14,0.0
20060106:0810,27.12,2.81,-1.07,2.28,0.0
20060106:0910,99.3,9.72,-0.38,2.28,0.0
20060106:1010,113.32,14.92,0.7,3.03,0.0
20060106:1110,161.51,17.99,1.5,3.03,0.0
20060106:1210,56.76,18.64,2.01,2.97,0.0
20060106:1310,74.73,16.8,2.4,3.03,0.0
20060106:1410,44.46,12.66,2.68,3.03,0.0
20060106:1510,29.33,6.59,2.68,2.97,0.0
20060106:1610,0.0,0.0,2.05,2.83,0.0
20060106:1710,0.0,0.0,1.18,2.9,0.0
20060106:1810,0.0,0.0,0.43,2.83,0.0
20060106:1910,0.0,0.0,-0.06,2.76,0.0
20060106:2010,0.0,0.0,-0.42,2.55,0.0
20060106:2110,0.0,0.0,-0.67,2.34,0.0
20060106:2210,0.0,0.0,-0.63,2.21,0.0
20060106:2310,0.0,0.0,-1.07,2.28,0.0
20060107:0010,0.0,0.0,-1.42,2.21,0.0
20060107:0110,0.0,0.0,-2.06,2.21,0.0
20060107:0210,0.0,0.0,-2.5,2.14,0.0
20060107:0310,0.0,0.0,-2.64,2.0,0.0
20060107:0410,0.0,0.0,-3.03,2.0,0.0
20060107:0510,0.0,0.0,-3.16,1.79,0.0
20060107:0610,0.0,0.0,-3.33,1.79,0.0
20060107:0710,0.0,0.0,-2.82,1.31,0.0
20060107:0810,32.83,2.86,-2.66,1.52,0.0
20060107:0910,263.25,9.78,-1.17,1.31,0.0
20060107:1010,402.89,15.0,0.46,1.45,0.0
20060107:1110,525.12,18.1,1.68,1.59,0.0
20060107:1210,632.1,18.77,2.96,1.72,0.0
20060107:1310,247.91,16.95,3.6,1.79,0.0
20060107:1410,80.1,12.81,3.88,1.93,0.0
20060107:1510,182.97,6.74,3.71,1.86,0.0
20060107:1610,0.0,0.0,3.13,2.0,0.0
20060107:1710,0.0,0.0,2.57,2.14,0.0
20060107:1810,0.0,0.0,2.46,2.34,0.0
20060107:1910,0.0,0.0,1.72,1.93,0.0
20060107:2010,0.0,0.0,1.67,2.0,0.0
20060107:2110,0.0,0.0,1.76,2.07,0.0
20060107:2210,0.0,0.0,1.76,2.14,0.0
20060107:2310,0.0,0.0,1.53,2.28,0.0
20060108:0010,0.0,0.0,1.26,2.28,0.0
20060108:0110,0.0,0.0,1.05,2.34,0.0
20060108:0210,0.0,0.0,0.88,2.41,0.0
20060108:0310,0.0,0.0,1.07,2.48,0.0
20060108:0410,0.0,0.0,1.28,2.55,0.0
20060108:0510,0.0,0.0,1.4,2.62,0.0
20060108:0610,0.0,0.0,1.44,2.62,0.0
20060108:0710,0.0,0.0,1.67,2.83,0.0
20060108:0810,22.54,2.91,2.05,2.83,0.0
20060108:0910,72.61,9.86,2.74,2.83,0.0
20060108:1010,43.52,15.1,3.52,2.76,0.0
20060108:1110,49.19,18.22,4.78,2.69,0.0
20060108:1210,50.14,18.91,5.0,2.9,0.0
20060108:1310,35.95,17.09,5.49,2.97,0.0
20060108:1410,54.87,12.97,5.97,3.17,0.0
20060108:1510,38.83,6.9,6.0,3.03,0.0
20060108:1610,0.0,0.0,5.87,3.03,0.0
20060108:1710,0.0,0.0,5.54,2.97,0.0
20060108:1810,0.0,0.0,5.43,3.1,0.0
20060108:1910,0.0,0.0,5.44,3.1,0.0
20060108:2010,0.0,0.0,5.45,2.9,0.0
20060108:2110,0.0,0.0,5.38,2.69,0.0
20060108:2210,0.0,0.0,4.98,2.62,0.0
20060108:2310,0.0,0.0,4.57,2.76,0.0
20060109:0010,0.0,0.0,4.07,2.83,0.0
20060109:0110,0.0,0.0,3.87,2.76,0.0
20060109:0210,0.0,0.0,3.67,2.76,0.0
20060109:0310,0.0,0.0,3.48,2.69,0.0
20060109:0410,0.0,0.0,3.43,2.55,0.0
20060109:0510,0.0,0.0,3.3,2.48,0.0
20060109:0610,0.0,0.0,3.19,2.28,0.0
20060109:0710,0.0,0.0,3.44,2.07,0.0
20060109:0810,19.0,2.98,3.45,1.86,0.0
20060109:0910,88.47,9.94,3.68,1.72,0.0
20060109:1010,180.47,15.2,4.8,1.79,0.0
20060109:1110,297.3,18.34,5.47,1.72,0.0
20060109:1210,611.57,19.05,6.37,1.79,0.0
20060109:1310,0.0,0.0,6.93,1.59,0.0
20060109:1410,0.0,0.0,7.32,1.31,0.0
20060109:1510,333.3,7.07,7.05,1.17,0.0
20060109:1610,0.0,0.0,6.34,1.59,0.0
20060109:1710,0.0,0.0,5.21,1.79,0.0
20060109:1810,0.0,0.0,4.61,1.93,0.0
20060109:1910,0.0,0.0,3.54,1.72,0.0
20060109:2010,0.0,0.0,3.16,1.52,0.0
20060109:2110,0.0,0.0,2.6,1.66,0.0
20060109:2210,0.0,0.0,2.26,1.59,0.0
20060109:2310,0.0,0.0,1.76,1.52,0.0
20060110:0010,0.0,0.0,1.4,1.38,0.0
20060110:0110,0.0,0.0,0.84,1.52,0.0
20060110:0210,0.0,0.0,0.37,1.59,0.0
20060110:0310,0.0,0.0,-0.21,1.79,0.0
20060110:0410,0.0,0.0,-0.71,2.0,0.0
20060110:0510,0.0,0.0,-0.97,2.0,0.0
20060110:0610,0.0,0.0,-1.24,1.86,0.0
20060110:0710,0.0,0.0,-1.26,2.07,0.0
20060110:0810,25.44,3.05,-0.56,1.93,0.0
20060110:0910,82.85,10.03,0.94,1.66,0.0
20060110:1010,90.43,15.31,2.54,1.93,0.0
20060110:1110,160.25,18.47,3.87,2.76,0.0
20060110:1210,123.89,19.2,4.35,3.24,0.0
20060110:1310,87.98,17.41,4.77,3.38,0.0
20060110:1410,62.43,13.3,4.76,3.59,0.0
20060110:1510,41.47,7.24,4.6,3.59,0.0
20060110:1610,0.0,0.0,4.25,2.76,0.0
20060110:1710,0.0,0.0,3.91,2.62,0.0
20060110:1810,0.0,0.0,3.44,2.76,0.0
20060110:1910,0.0,0.0,3.0,2.83,0.0
20060110:2010,0.0,0.0,2.82,2.97,0.0
20060110:2110,0.0,0.0,2.75,3.1,0.0
20060110:2210,0.0,0.0,2.61,3.1,0.0
20060110:2310,0.0,0.0,2.25,3.1,0.0
20060111:0010,0.0,0.0,2.22,3.31,0.0
20060111:0110,0.0,0.0,2.09,3.52,0.0
20060111:0210,0.0,0.0,2.09,3.45,0.0
20060111:0310,0.0,0.0,1.73,3.31,0.0
20060111:0410,0.0,0.0,1.82,3.38,0.0
20060111:0510,0.0,0.0,1.76,3.38,0.0
20060111:0610,0.0,0.0,1.7,3.45,0.0
20060111:0710,0.0,0.0,1.61,3.66,0.0
20060111:0810,15.52,3.13,1.6,3.72,0.0
20060111:0910,36.89,10.12,2.14,4.0,0.0
20060111:1010,19.87,15.43,3.03,4.21,0.0
20060111:1110,33.11,18.61,3.67,4.14,0.0
20060111:1210,82.3,19.35,4.26,4.07,0.0
20060111:1310,55.81,17.58,4.74,4.34,0.0
